Date,T2M
2019/08/29 21:59:57,29.18
2019/08/29 22:59:57,28.75
2019/08/29 23:59:57,28.31
2019/08/30 00:59:57,27.95
2019/08/30 01:59:57,27.69
2019/08/30 02:59:57,27.47
2019/08/30 03:59:56,27.27
2019/08/30 04:59:56,27.25
2019/08/30 05:59:56,27.98
2019/08/30 06:59:56,29.22
2019/08/30 07:59:56,30.54
2019/08/30 08:59:56,31.71
2019/08/30 09:59:56,32.58
2019/08/30 10:59:56,33.23
2019/08/30 11:59:56,33.73
2019/08/30 12:59:56,33.98
2019/08/30 13:59:56,34.11
2019/08/30 14:59:56,33.96
2019/08/30 15:59:56,33.76
2019/08/30 16:59:56,33.24
2019/08/30 17:59:56,32.23
2019/08/30 18:59:56,31.82
2019/08/30 19:59:56,31.16
2019/08/30 20:59:56,30.37
2019/08/30 21:59:56,29.76
2019/08/30 22:59:56,29.29
2019/08/30 23:59:56,28.84
2019/08/31 00:59:56,28.36
2019/08/31 01:59:56,28
2019/08/31 02:59:56,27.81
2019/08/31 03:59:56,27.69
2019/08/31 04:59:56,27.63
2019/08/31 05:59:56,28.8
2019/08/31 06:59:56,31.13
2019/08/31 07:59:56,33.46
2019/08/31 08:59:56,34.39
2019/08/31 09:59:56,35.15
2019/08/31 10:59:56,35.73
2019/08/31 11:59:56,36
2019/08/31 12:59:56,36.03
2019/08/31 13:59:56,35.94
2019/08/31 14:59:56,35.79
2019/08/31 15:59:56,35.26
2019/08/31 16:59:56,34.44
2019/08/31 17:59:56,32.9
2019/08/31 18:59:56,31.77
2019/08/31 19:59:56,30.9
2019/08/31 20:59:56,30
2019/08/31 21:59:56,29.25
2019/08/31 22:59:56,28.63
2019/08/31 23:59:56,28.15
2019/09/01 00:59:56,27.8
2019/09/01 01:59:56,27.49
2019/09/01 02:59:56,27.26
2019/09/01 03:59:56,27.08
2019/09/01 04:59:56,27.05
2019/09/01 05:59:56,28.14
2019/09/01 06:59:56,29.43
2019/09/01 07:59:56,31.97
2019/09/01 08:59:56,33.3
2019/09/01 09:59:56,34.17
2019/09/01 10:59:56,34.67
2019/09/01 11:59:56,34.69
2019/09/01 12:59:56,34.68
2019/09/01 13:59:56,34.43
2019/09/01 14:59:56,33.58
2019/09/01 15:59:56,32.69
2019/09/01 16:59:56,31.49
2019/09/01 17:59:56,30.05
2019/09/01 18:59:56,29.41
2019/09/01 19:59:56,28.95
2019/09/01 20:59:56,28.55
2019/09/01 21:59:56,28.19
2019/09/01 22:59:56,27.84
2019/09/01 23:59:56,27.53
2019/09/02 00:59:56,27.24
2019/09/02 01:59:56,27.05
2019/09/02 02:59:56,26.92
2019/09/02 03:59:56,26.9
2019/09/02 04:59:56,26.95
2019/09/02 05:59:56,27.64
2019/09/02 06:59:56,29.01
2019/09/02 07:59:56,30.46
2019/09/02 08:59:56,31.6
2019/09/02 09:59:56,32.42
2019/09/02 10:59:56,33.33
2019/09/02 11:59:56,33.75
2019/09/02 12:59:56,33.91
2019/09/02 13:59:56,33.9
2019/09/02 14:59:56,33.88
2019/09/02 15:59:56,33.33
2019/09/02 16:59:56,32.65
2019/09/02 17:59:56,31.43
2019/09/02 18:59:56,31.21
2019/09/02 19:59:56,31.02
2019/09/02 20:59:56,30.69
2019/09/02 21:59:56,30.2
2019/09/02 22:59:56,29.72
2019/09/02 23:59:56,29.12
2019/09/03 00:59:56,28.47
2019/09/03 01:59:56,28.01
2019/09/03 02:59:56,27.74
2019/09/03 03:59:56,27.59
2019/09/03 04:59:56,27.49
2019/09/03 05:59:56,28.59
2019/09/03 06:59:56,31.46
2019/09/03 07:59:56,33.42
2019/09/03 08:59:56,34.5
2019/09/03 09:59:56,35.36
2019/09/03 10:59:56,36.05
2019/09/03 11:59:56,36.4
2019/09/03 12:59:56,36.48
2019/09/03 13:59:56,36.21
2019/09/03 14:59:56,35.87
2019/09/03 15:59:56,35.4
2019/09/03 16:59:56,34.42
2019/09/03 17:59:56,32.96
2019/09/03 18:59:56,32.09
2019/09/03 19:59:56,31.4
2019/09/03 20:59:56,30.85
2019/09/03 21:59:56,30.51
2019/09/03 22:59:56,30.4
2019/09/03 23:59:56,29.94
2019/09/04 00:59:56,29
2019/09/04 01:59:56,28.5
2019/09/04 02:59:56,28.18
2019/09/04 03:59:56,27.9
2019/09/04 04:59:56,27.71
